Status,Side,Time,Local,Dirty Price,Yield,Quantity,MinInc,SetDt,EBND Seller Broker Code,EBND Buyer Broker Code,Price,Bid Type,UserName,Account,Seq#,Brkr,System #,Net,Security (ASX),Security,ISIN
Open,S,11:14:53,MH22029,,5.5336,25000000,,05/10/2021,,BRSV,133.65,,BRANDY LAUREANO,,7,BRSV,,34516952.05,DRGB 10 3/4 11/08/29,DRGB 10 3/4 11/08/29,DO1005207027
Open,S,11:14:33,MH12029,,5.5269,25000000,,06/10/2021,,BRSV,136.43,,BRANDY LAUREANO,,6,BRSV,,34824280.82,DRGB 11 3/8 07/06/29,DRGB 11 3/8 07/06/29,DO1005204412
Open,B,10:38:21,MH12031,,5.792,10000000,,06/10/2021,BRSV,,120.75,,BRANDY LAUREANO,,5,BRSV,,12351472.6,DRGB 8 5/8 06/11/31,DRGB 8 5/8 06/11/31,DO1005208629
Open,S,10:32:30,MH12032,,6.0498,10000000,,06/10/2021,,CCIP,145.45,,JOSE CENDON,,2,CCIP,,14646917.81,DRGB 12 03/05/32,DRGB 12 03/05/32,DO1005206011
Open,S,10:18:02,MH42028,,5.65,10000000,,06/10/2021,,JMMB,112.9163,,ELADIO PEREZ,,2,JMMB,,11548068.36,DRGB 8 06/11/28,DRGB 8 06/11/28,DO1005208728
Open,B,10:04:24,MH12030,,5.6,10000000,,06/10/2021,BHDV,,131.2428,,SIMON ANGULO,,2,BHVD,,13371574.52,DRGB 10 3/8 01/11/30,DRGB 10 3/8 01/11/30,DO1005207217
Open,B,09:14:56,MH32028,,5.5665,10000000,,06/10/2021,BRSV,,129.17,,OSCAR YEPEZ,,4,BRSV,,13084876.71,DRGB 10 3/4 08/11/28,DRGB 10 3/4 08/11/28,DO1005206516
Open,S,09:05:22,BSDR2026,,5.0089,10000000,,05/10/2021,,BRSV,119.5,,OSCAR YEPEZ,,3,BRSV,,12275000,DOMREP 9 3/4 06/05/26,DOMREP 9 3/4 06/05/26,USP3579ECD78
Open,S,08:56:46,MH12031,,5.8831,10000000,,06/10/2021,,BRSV,120,,BRANDY LAUREANO,,2,BRSV,,12276472.6,DRGB 8 5/8 06/11/31,DRGB 8 5/8 06/11/31,DO1005208629
Open,S,12:51:30,BSRD2041,,5.4427,1000000,,05/10/2021,,BSC,98.3,,JOSE MIGUEL CASTILLO AROCA,,4,SACR,,993894.44,DOMREP 5.30 01/21/41,DOMREP 5.30 01/21/41,USP3579ECJ49
Open,B,12:51:30,BSRD2041,,5.2578,1000000,,05/10/2021,BSC,,100.5,,JOSE MIGUEL CASTILLO AROCA,,5,SACR,,1015894.44,DOMREP 5.30 01/21/41,DOMREP 5.30 01/21/41,USP3579ECJ49
Open,S,12:35:08,MH42028,,5.6527,25000000,,06/10/2021,,CCIP,112.9,,JOSE CENDON,,2,CCIP,,28866095.89,DRGB 8 06/11/28,DRGB 8 06/11/28,DO1005208728
Open,S,12:29:54,MH22023,,3.4658,10000000,,06/10/2021,,BRSV,110.2,,BRANDY LAUREANO,,46,BRSV,,11543561.64,DRGB 10 1/2 04/07/23,DRGB 10 1/2 04/07/23,DO1005205914
Open,S,12:29:43,MH12023,,3.8892,10000000,,06/10/2021,,BRSV,113.8,,BRANDY LAUREANO,,45,BRSV,,11606438.36,DRGB 14 1/2 02/10/23,DRGB 14 1/2 02/10/23,DO1005250928
Open,S,12:29:24,MH22023,,1.2122,10000000,,05/10/2021,,BRSV,113.8,,BRANDY LAUREANO,,44,BRSV,,11900684.93,DRGB 10 1/2 04/07/23,DRGB 10 1/2 04/07/23,DO1005205914
Open,S,11:58:32,MH32026,,4.6222,10000000,,06/10/2021,,BRSV,128.6,,BRANDY LAUREANO,,43,BRSV,,13321095.89,DRGB 11 11/06/26,DRGB 11 11/06/26,DO1005205310
Open,B,11:57:06,BSDR2026,,4.9477,10000000,,05/10/2021,TIVA,,119.7814,,RAFAEL PENA,,3,TIVA,,12303140,DOMREP 9 3/4 06/05/26,DOMREP 9 3/4 06/05/26,USP3579ECD78
Open,S,11:34:00,MH12030,,5.9571,10000000,,06/10/2021,,BRSV,128.5,,OSCAR YEPEZ,,42,BRSV,,13097294.52,DRGB 10 3/8 01/11/30,DRGB 10 3/8 01/11/30,DO1005207217
Open,B,11:17:42,MHUS2040,,4,500000,,06/10/2021,BHDV,,136.0902,,SIMON ANGULO,,2,BHVD,,687201,DRGB 6 3/4 07/24/40,DRGB 6 3/4 07/24/40,DO1005208322
Open,B,11:16:50,MH42028,,5.5017,25000000,,06/10/2021,BRSV,,113.8,,BRANDY LAUREANO,,41,BRSV,,29091095.89,DRGB 8 06/11/28,DRGB 8 06/11/28,DO1005208728
Open,B,11:16:35,MH32028,,5.5242,25000000,,06/10/2021,BRSV,,129.45,,BRANDY LAUREANO,,40,BRSV,,32782191.78,DRGB 10 3/4 08/11/28,DRGB 10 3/4 08/11/28,DO1005206516
Open,S,11:16:23,MH12029,,5.544,25000000,,06/10/2021,,BRSV,136.3,,BRANDY LAUREANO,,39,BRSV,,34791780.82,DRGB 11 3/8 07/06/29,DRGB 11 3/8 07/06/29,DO1005204412
